job_name,job_request,position_label,job_advantage,description,work_addr,comp_name,comp_domain,comp_stage,comp_scale,comp_invest,lagou_comp_page,comp_index_page,lg_url
数据挖掘工程师,15k-25k /深圳 / 经验1-3年 / 本科及以上 / 全职,数据分析<p>算法<p>数据挖掘<p>机器学习<p>大数据,最火行业，独角兽公司，技术氛围浓，成长空间大,职位描述：<p>工作职责：<p>1、海量图像数据的结构化处理，聚类分析，关联分析；<p>2、基于图像大数据核心业务流程的优化和挖掘；<p>3、大数据分析平台和数据挖掘平台的系统设计、开发和优化；<p>任职要求：<p>1、扎实的计算机理论、统计学、数据挖掘理论基础；<p>2、熟悉聚类、分类、回归、图模型等机器学习算法， 对常见的核心算法理解透彻，有实际建模经验；<p>3、能熟练使用C++、Python、Java、Scala、R等编程语言中至少一种者优先；<p>4、1年以上工作经验，参与过至少1个大型数据挖掘工程项目，并在其中担任模型设计和调优等主要工作；<p>5、良好的逻辑思维能力，对数字敏感，能够发现关键数据，善于发现和分析问题；<p>6、热爱学习，善于沟通，为人正直，诚信，有较强的事业心。<p>有以下经验尤佳：<p>1、熟悉机器视觉、图像分类、图像聚类，有相关项目经验；<p>2、熟悉海量数据处理、最优化算法、分布式计算或高性能并行计算，有相关项目经验；<p>3、熟悉网络爬虫、物品/商品画像、用户画像建模，有相关工作经验；<p>4、精通数据挖掘模型优化；,深圳 - 福田区 - 上步 - 上步中路1003号科学馆7层,云天励飞,移动互联网,A轮,150-500人,真格基金(天使轮),https://www.lagou.com/gongsi/95529.html,http://www.intellif.com/,https://www.lagou.com/jobs/4020406.html
数据挖掘工程师,20k-30k /北京 / 经验1-3年 / 本科及以上 / 全职,媒体<p>资深<p>算法<p>机器学习<p>数据挖掘<p>自然语言处理,氛围好，弹性工作，鼓励发展,职位描述：<p>工作职责：<p> 1、参与构建数据挖掘体系，并构建各种模型解决实际问题；<p> 2、参与媒体新闻挖掘相关工作<p><p>任职要求：<p> 1、本科以上学历，有2-3年的数据挖掘经验，有较多的项目经验；<p> 2、有较强的java/python开发能力；<p> 3、熟悉常见的分类、聚类、回归、时间序列、关联分析等算法；<p> 4、优秀的分析问题和解决问题的能力,北京 - 东城区 - 左家庄 - 当代 MOMA,FellowPlus,金融,A轮,50-150人,,https://www.lagou.com/gongsi/36451.html,http://www.fellowplus.com/,https://www.lagou.com/jobs/3090330.html
数据挖掘工程师,20k-40k /北京 / 经验1-3年 / 本科及以上 / 全职,广告营销<p>数据<p>数据挖掘,广阔的发展空间，有竞争力的薪资,职位描述：<p>工作职责：<p>1、基于大规模用户数据，运用机器学习/数据挖掘的理论和方法，建立和优化通用或特定领域内的用户自然属性、兴趣模型、状态模型；<p>2、基于用户模型和内容模型，实现个性化推荐、精准广告等研发与应用，提高陌陌产品用户体验和广告投放效果；<p>3、建立策略效果评估机制和监控体系，持续对策略/框架做出合理地调整或改进；<p>4、从系统应用的角度，利用数据挖掘/数理统计的理论和方法解决实际问题。<p>职位要求：<p>1、计算机、应用数学、模式识别或相关专业本科及以上学历（硕士或博士优先）；<p>2、扎实的机器学习/推荐算法/数据挖掘理论和技术基础，有2年以上的实际工作经验；<p>3、熟练掌握至少一种编程语言，C++、Java、Python、Scala；<p>4、熟悉Linux开发环境；<p>5、有用户画像、推荐系统、精准广告等方面的实际工作经验优先；<p>6、熟悉Hadoop生态系统 / Spark / Hive / Hbase / Redis / Storm等使用经验者优先；<p>7、具有良好的学习能力、时间和流程意识、沟通协作能力。,北京 - 朝阳区 - 望京 - 望京阜通东大街1号望京soho，塔2，B座20层,陌陌,社交网络,上市公司,500-2000人,,https://www.lagou.com/gongsi/129.html,http://www.immomo.com/,https://www.lagou.com/jobs/449812.html
【社招】【搜狐大数据中心】数...,20k-40k /北京 / 经验1-3年 / 本科及以上 / 全职,hadoop<p>数据挖掘<p>大数据,15天带薪年假+不定期TB+部门零食,职位描述：<p>【部门介绍】<p>搜狐大数据中心，作为搜狐计算和数据支撑平台，为公司提供全方位的大数据解决方案，涵盖分布式储存和计算基础设施、一站式大数据管理和应用、精准化运营和决策、全平台用户画像、垂直产品个性化推荐引擎等，致力打造搜狐数据中心的同时，也在追求大数据产品的云化服务，运用最先进的技术，为业务和用户创造更多价值 。<p><p>岗位描述：<p>应用数据挖掘/机器学习等技术，对海量用户行为和内容信息挖掘建模，挖掘潜在商业价值，应用于数据智能业务。<p>基于PB以上级别的数据，深度分析数据特征，挖掘数据价值；<p>应对PB以上级别数据的交互式查询、计算、存储；<p>基于埋点数据和客户等数据，深度分析数据中的规律，挖掘数据价值； <p>任职要求：<p>良好的逻辑思维能力，能够从海量数据中发现有价值的规律<p>熟悉linux平台，熟练掌握Python/C等至少一种编译语言，对数据结构和算法设计有较为深刻的理解。<p>熟悉数据挖掘、机器学习、自然语言处理、文本理解等相关技术<p>有大规模用户行为数据和内容数据挖掘分析经验者优先<p>具备良好的沟通能力和团队合作精神<p>优秀的分析问题和解决问题的能力，对解决具有挑战性问题充满激情<p><p>【部门介绍】<p>搜狐大数据中心，作为搜狐计算和数据支撑平台，为公司提供全方位的大数据解决方案，涵盖分布式储存和计算基础设施、一站式大数据管理和应用、精准化运营和决策、全平台用户画像、垂直产品个性化推荐引擎等，致力打造搜狐数据中心的同时，也在追求大数据产品的云化服务，运用最先进的技术，为业务和用户创造更多价值 。,北京 - 海淀区 - 搜狐媒体大厦,搜狐集团,移动互联网，广告营销,上市公司,2000人以上,,https://www.lagou.com/gongsi/106303.html,http://www.sohu.com/,https://www.lagou.com/jobs/3978614.html
数据挖掘工程师,15k-20k /上海 / 经验3-5年 / 本科及以上 / 全职,数据开发<p>数据挖掘<p>机器学习<p>深度学习<p>大数据,团队氛围好，项目前景好,职位描述：<p>职位职责：<p>1）根据业务需要开发数据挖掘模型；<p>2）部署和维护已开发的挖掘模型；<p>3）协助和配合部分数据平台的开发工作；<p><p>任职要求：<p>1）熟悉主流数据挖掘和机器学习模型；<p>2）属性主流的开发建模软件（R和python等）；<p>3）具有良好的业务感觉；<p>4）具有良好的沟通能力和团队协作；,上海 - 浦东新区 - 世纪公园 - 由由世纪广场1号楼21楼,大查柜,电子商务，生活服务,未融资,15-50人,,https://www.lagou.com/gongsi/136766.html,http://www.ikuaidi.com/,https://www.lagou.com/jobs/4180708.html
数据挖掘/推荐算法工程师,25k-40k /北京 / 经验1-3年 / 硕士及以上 / 全职,算法<p>推荐<p>机器学习<p>数据挖掘,大牛，人性化管理，靠谱团队，技术氛围好,职位描述：<p>1、基于最前沿的深度/机器学习技术，开发可供不同行业、场景使用的大规模线上推荐系统<p>2、针对具体的场景，研发新的推荐策略和算法，并不断优化使之在效果和性能上达到行业最高标准<p>3、基于当前服务的客户遇到的实际问题，进行分析，找到提高整体效果的策略和算法改进方案<p>岗位要求:<p>1、985、211院校计算机相关专业，一年或以上工作经验；<p>2、熟悉Hadoop/Hive/Hbase/Spark系技术，有1年以上的实际使用经验；3、熟悉Linux开发环境，熟悉Java、Python等；<p>4、有互联网公司推荐系统在线、离线计算相关开发经验者优先；<p>5、对机器学习和数据挖掘的原理和算法有了解优先；,北京 - 海淀区 - 中关村 - 中关村中钢国际大厦,深睿医疗,移动互联网，医疗健康,A轮,50-150人,,https://www.lagou.com/gongsi/210070.html,http://www.deepwise.com/,https://www.lagou.com/jobs/3985588.html
高级/资深数据挖掘工程师,15k-30k /杭州 / 经验1-3年 / 硕士及以上 / 全职,算法<p>数据挖掘<p>大数据,18薪，免费工作餐，免费班车，团队优秀,职位描述：<p>职位描述：<p>1、负责数据挖掘系统的设计研发<p>2、负责利用大数据相关技术进行数据挖掘支撑，包括用户行为特征挖掘、数据建模、关联分析等。<p><p>资格要求：<p>1、硕士或以上学历，计算机、数学相关专业毕业；<p>2、精通Java编程，了解Linux/Unix平台；<p>3、有较好的逻辑分析和数据分析能力，解决问题能力强；<p>4、熟悉数据挖掘、机器学习、自然语言处理的理论；<p>5. 了解Hadoop，Spark，Storm等一种以上大数据处理工具和技术；<p>6、有搜索、自然语言处理、图像识别、数理统计等相关领域工作经验优先；<p>7、有大型互联网工作经验的优先。,杭州 - 滨江区 - 网易(杭州)网络有限公司,网易,电子商务，移动互联网,上市公司,2000人以上,,https://www.lagou.com/gongsi/329.html,http://hr.163.com/,https://www.lagou.com/jobs/4148022.html
数据挖掘讲师,18k-30k /北京 / 经验3-5年 / 学历不限 / 全职,算法<p>数据挖掘<p>大数据<p>机器学习,人工智能，数据挖掘,职位描述：<p>职责描述：<p>1、负责数据挖掘课程的设计和授课；<p>2、负责实训课程的设计和授课；<p>  任职要求：<p>1、本科及以上学历，计算机、数学、统计学等相关专业；<p>2、2年以上数据挖掘工作经验，拥有大中型数据挖掘实际项目经验者优先；<p>3、要求熟练掌握python、java、scala任意一种编程语言；<p>4、熟悉主流的数据挖掘算法，如逻辑回归、决策树、神经网络、随机森林等机器学习算法<p>5、了解Hadoop生态圈、Spark生态圈相关大数据技术；,北京 - 海淀区 - 上地 - 上地软件园南路57号,北京八维研修学院,教育,未融资,2000人以上,,https://www.lagou.com/gongsi/114259.html,http://www.bwie.com/,https://www.lagou.com/jobs/3893534.html
数据挖掘架构师,30k-60k /北京 / 经验5-10年 / 本科及以上 / 全职,架构师<p>大数据<p>数据挖掘,五险一金、平台好、团队温馨、领导nice,职位描述：<p>岗位职责：<p>1. 带领公司BI团队<p>2. 负责公司大数据分析平台搭建，相关数据的处理、分析、统计、挖掘工作<p>3. 针对具体业务问题，研究用户行为等因素，进行数据分析验证并提出改善举措<p>4. 以数据来驱动公司的运营<p>    任职要求：<p>1、计算机、信息系统、数学或相近专业本科以上学历，5年以上软件研发经验；<p>2、熟悉Spark／Hadoop/Hive/HBase/并有实战经验；<p>3、具备Java开发经验， 熟悉Scala， Python优先，精通SQL；<p>4、有海量在线、离线数据分析系统设计和开发经验；<p>5、深入理解主流数据挖掘算法及其原理，能根据业务场景，建立挖掘模型，选择最合适和高效的算法并实现；<p>6、需要有很强的学习能力、自我管理能力、能够在压力环境下工作；<p>7、需要有责任心， 工作积极主动， 思路清晰，擅长沟通、有团队合作精神。,北京 - 朝阳区 - 来广营 - 广顺北大街5号融创动力科技文化创意产业园B座一层C136,惠民网,电子商务,B轮,2000人以上,达晨创投、金浦投资，中信基金、浙商创投、洪泰基金(A轮),https://www.lagou.com/gongsi/49187.html,http://www.huimin.cn/,https://www.lagou.com/jobs/4135659.html
数据挖掘工程师,15k-25k /珠海 / 经验3-5年 / 本科及以上 / 全职,金融<p>算法<p>数据挖掘<p>机器学习<p>大数据,技术氛围好，薪酬福利高，行业前景好,职位描述：<p>工作职责：<p>参与WPS迷你信息流、会员服务等相关的数据挖掘开发工作<p><p>岗位要求：<p>1、精通推荐系统底层设计与开发，熟悉推荐算法与模型设计<p>2、最近2年，有带团队实战经验优先<p>3、有今日头条、百度、新浪微博、天天快报、一点资讯，信息流推荐从业经验优先<p>4、有机器学习经验者优先,- 前湾二路39号金山软件园研发5号楼,金山办公软件,移动互联网,上市公司,2000人以上,,https://www.lagou.com/gongsi/7835.html,http://www.kingsoft.com/,https://www.lagou.com/jobs/3981944.html
