job_name,job_request,position_label,job_advantage,description,work_addr,comp_name,comp_domain,comp_stage,comp_scale,comp_invest,lagou_comp_page,comp_index_page,lg_url
后端工程师（搜索/推荐/数...,7k-14k /上海 / 经验1-3年 / 大专及以上 / 全职,数据<p>数据挖掘,互联网家装解决方案公司,职位描述：<p>工作职责：<p>1.参与搜索/推荐系统的研发<p>2.数据挖掘支持，文本处理、文本挖掘、相关性应用<p>3.参与内部系统开发<p>资质要求：<p>1.本科以上学历，计算机等相关工科学位<p>2.熟练掌握C/C++、Java、Python等任何后端语言至少之一，对深入使用Python感兴趣<p>3.具备良好的数据结构、算法基础，开发功底扎实<p>4.具备Linux环境、数据库、HTTP等后端开发基础，有RESTful服务构架和应用经验优先<p>5.理解数据挖掘/搜索系统/推荐系统的基础原理优先<p>6.自我驱动，追求进步和探索，积极主动，工作责任心强,上海 - 嘉定区 - 丰庄 - 金沙江路3131号,齐家网,O2O ，生活服务,D轮及以上,2000人以上,,https://www.lagou.com/gongsi/5330.html,http://www.jia.com/,https://www.lagou.com/jobs/1489070.html
数据分析师（数据挖掘产品）,15k-30k /上海 / 经验1-3年 / 本科及以上 / 全职,资深<p>高级<p>大数据<p>数据分析<p>SPSS<p>数据挖掘,数据领域大神等你一起来玩耍～,职位描述：<p>职位描述<p>工作职责：<p>1、对接业务部门日常运营分析的需求，搭建运营分析体系<p>2、能够独立进行数据的处理并高效完成数据分析工作<p>3、能够基于数据分析得到有价值的信息和结论，为业务发展提供策略和建议<p>4、良好的沟通和协调能力，积极推进数据分析的建议落地<p>任职要求:<p>1、本科及以上学历 至少3年以上的数据分析工作经验<p>2、敏锐的数据观察和分析能力<p>3、对于R、SAS、Tableau有一定的使用经验<p>4、熟悉一种或者几种主流数据库， 如Hadoop、Mysql、Oracle等<p>5、强烈责任心，开放的性格，良好的沟通能力,上海 - 普陀区 - 长征 - 金沙江路1518弄近铁城市广场北座4楼401室,饿了么,移动互联网,D轮及以上,2000人以上,红杉资本、金沙江创投、经纬创投(C轮),https://www.lagou.com/gongsi/51480.html,http://ele.me/,https://www.lagou.com/jobs/3462732.html
大数据挖掘/人工智能/神经...,20k-30k /上海 / 经验1-3年 / 硕士及以上 / 全职,金融<p>数据挖掘<p>大数据<p>机器学习<p>人工智能,团建，大牛云集,职位描述：<p>工作职责：<p>1. 利用大数据挖掘与人工智能方法，从事信贷风控欺诈分析、信用风险分析等工作；<p>2. 结合应用场景，综合考虑业务/数据/算法等因素，持续改进和优化产品性能；<p>3. 开发基于金融行业大数据的人工智能应用系统和平台；推动合格有效的AI算法到公司各产品中，完善产品功能；<p>4. 具有一定的模型理解能力和模型评价能力，能够配合人工职能科学家进行海量模型对比实验。<p><p>任职资格：<p>1. 硕士及以上学历，数学，生物信息，计算机，神经网络，机器学习等相关专业；<p>2. 扎实的编程基础（熟练使用Java或者Python等）；<p>3. 有大数据处理经验（熟悉Hadoop或者Spark等分布式处理平台）；有动手建模和开发算法的实战经验。<p>4. 熟悉以下至少一种知识技能：<p>a. 人工智能学习的基本工作原理及其架构，包括常用的搜索理论，推理策略，人工智能架构及其编程语言等；<p>b.人工神经网络的学习机理，人工神经网络模型等；<p>c.常用的智能学习算法、框架和应用；<p>d.一个或多个常见的神经网络开源工具库；<p>5. 有互联网金融风险控制经验背景者优先；,上海 - 杨浦区 - 淞沪路619号中航天盛大厦1701室,GeexFinance,金融,A轮,150-500人,红杉(A轮),https://www.lagou.com/gongsi/37850.html,http://geexfinance.com/jobs,https://www.lagou.com/jobs/4151003.html
上海分公司信息技术部 - ...,10k-20k /上海 / 经验3-5年 / 本科及以上 / 全职,数据挖掘<p>大数据<p>数据分析,国内综合实力最强的证券公司之一,职位描述：<p>【岗位职责】<p>1、构建大数据建模环境，大数据项目业务模型梳理，完成大规模数据挖掘和预测算法的实现。 <p>2、参与客户/用户画像、经营管理、产品画像、营销活动等主题域建设工作；<p>3、构建用户全方位标签体系，挖掘用户行为特征及业务特征；基于用户标签和产品标签，实现产品的精准推荐。 <p>4、建立基于数据的用户全生命周期（潜在、新增、活跃、贡献、沉寂、流失）的关键时段识别模型。<p>5、及时响应临时性、个性化数据需求。<p><p>【任职要求】<p>1、统计、数学、信息技术、计算机本科及以上学历，工作经验3年及以上。<p>2、熟练掌握回归、聚类、判别、决策树等统计方法。<p>3、具备丰富建模经验，能熟练应用SQL、R、Python等建模工具。<p>4 、熟悉SQL SERVER、ORALCE等一种以上的主流数据库。<p>5、良好的数据敏感度，能从海量数据提炼核心结果，有丰富的数据分析、挖掘、清洗和建模的经验。 <p>6、较强的逻辑思维能力、较强语言表达能力及协调能力，有独立分析和解决问题的能力。,上海 - 浦东新区 - 陆家嘴 - 银城中路168号上海银行大厦,国泰君安证券股份有限公司,金融,上市公司,2000人以上,,https://www.lagou.com/gongsi/41258.html,http://www.gtja.com/,https://www.lagou.com/jobs/3699159.html
大数据挖掘工程师,15k-25k /上海 / 经验1-3年 / 本科及以上 / 全职,高级<p>中级<p>算法<p>机器学习<p>大数据<p>数据挖掘,福利好，牛人多，技术牛,职位描述：<p>岗位职责：<p>1. 支持京东国际化项目运营数据分析、模型开发，亿级用户画像及推荐<p>2. 通过海量数据发掘深入理解APP、PC用户，为产品策略及战略发展提供数据支撑<p>3. 分析研究数据与业务的关联，设计开发可扩展的算法模型，挖掘用户属性、行为特征进行应用创新<p>职位要求：<p>1.计算机及相关专业本科以上学历，具有良好的数学、数据挖掘、深度学习等计算机相关知识<p>2.互联网大数据计算领域2年以上经验<p>3.熟悉Hadoop/Spark/TensorFlow<p>4.熟悉推荐系统，有画像相关经验优先<p>5.对技术、大数据充满热情，有团队合作精神,上海 - 长宁区 - 北新泾 - 长宁区淞虹路207号明基广场A座7楼,京东,电子商务,上市公司,2000人以上,,https://www.lagou.com/gongsi/35422.html,http://www.jd.com/,https://www.lagou.com/jobs/3877813.html
大数据挖掘工程师,8k-15k /上海 / 经验1-3年 / 本科及以上 / 全职,算法<p>软件开发<p>大数据<p>机器学习<p>数据挖掘,五险一金，补充公积金，员工体检，项目奖金,职位描述：<p>A、职位描述（工作内容和主要职责）：<p>1、负责从云平台数据库内数据抽取汇整及数据清理；<p>2、利用对业务的了解，改进通用算法，输出算法模型；<p>3、根据需求完成挖掘结果分析和可视化，并形成模型、报告；<p>4、参与实现分布式数据挖掘算法的设计和开发。<p>B、职位要求：<p>1、本科学历，需数据挖掘专业并具有两年工作经验；硕士学历，需数据挖掘研究方向；<p>2、至少精通一门编程语言(c/c++/JAVA等)和脚本语言(python等)，熟练使用常用算法和数据结构，对算法有较强的实现能力，能独立实现相关数据挖掘经典算法；<p>3、有分布式数据挖掘经验者优先；<p>4、有搭建深度学习平台经验者优先。,上海 - 杨浦区 - 四平路 - 隆昌路619号8号楼中区B11,上海文什数据科技有限公司,数据服务，其他,A轮,15-50人,,https://www.lagou.com/gongsi/157428.html,http://www.wenshidata.com/,https://www.lagou.com/jobs/3849703.html
Data Mining Engineer,15k-30k /上海 / 经验3-5年 / 本科及以上 / 全职,数据挖掘<p>SQL<p>R<p>数据分析,平台大，发展好，机会多，待遇好,职位描述：<p>Responsibilities<p>1. Responsible for the collection and maintenance of business data and project demands (such as online advertising precision marketing)<p>2. Perform integration of massive data， data modeling and optimization， and data mining， to establish data pipeline to support business analysis and decision making<p>3. Responsible for daily user-level data analysis (e.g. size and distribution; traffic prediction of ads inventories; user behavior analysis， etc.)<p>4. Cooperate with BI and Data Department to establish and maintain datasets for business applications; provide automation solutions for routine business analysis datasets/reports required by the department<p>  Qualifications<p>1. Bachelor degree or above， with strong engineering background， preferably in fields such as Computer Science， Mathematics， Software Engineering， Statistics， Information Systems<p>2. 3-5 years of experience in data engineering and mining， preferably with 1-2 years of experience in internet/tech/digital advertising industries<p>3. Working knowledge with data structures， storage systems， cloud infrastructure， front-end frameworks， and other technical tools (e.g. HDFS， Hive， Spark， Impala， Hbase， Kafka， etc.)<p>4. Experience with programming languages such as Python， Java， C++， etc.<p>5. Understanding of how technical decisions impact users and business decisions<p>6. Ability to work effectively in teams of technical and non-technical individuals<p>7. Skills to work in a rapidly changing environment with dynamic objectives and iteration with users<p>8.  Ability to continuously learn， work independently， and make decisions with minimal supervision,上海 - 长宁区 - 上海市长宁区淞虹路207号 明基广场A栋,京东商城,电子商务,上市公司,2000人以上,,https://www.lagou.com/gongsi/139755.html,http://www.jd.com/,https://www.lagou.com/jobs/4043214.html
大数据挖掘工程师,18k-25k /上海 / 经验3-5年 / 本科及以上 / 全职,数据挖掘<p>大数据<p>数据分析,环境高大上，福利待遇棒，公司氛围赞，发展前景好,职位描述：<p>岗位职责：<p>1.能迅速理解并敏锐发掘零售/餐饮行业客户的数据分析的核心需求；<p>2.负责完成业务需求中数据采集程序开发、数据结构确定、数据存储策略选择、数据分析模型或算法；<p>3.应用先进的统计建模、数据挖掘、机器学习方法建立数据模型解决实际问题，并研发创新方法以解决常规算法不能解决的问题；<p>4.不断挖掘新的用户属性数据并据此产生创新的应用。为业务推广、销售策略、产品方向的改进提供数据分析支持；<p>5.大规模日志分析、挖掘和建模；大数据中挖掘用户本质属性，并分析用户行为和个性化需求、用户标签自动化。<p><p>任职要求：<p>1.本科以上学历，统计、数学、计算机相关专业尤佳；<p>2.精通常用数据挖掘工具软件R、Python等工具，可代码级实现数据挖掘算法；<p>3.对机器学习、文本挖掘、自然语言识别、网络爬虫相关技术有深入的认识；<p>4.熟练使用HSQL、SQL语言；<p>5.熟悉Hadoop生态圈技术，能熟练应用Spark集群开展数据挖掘者优先；<p>6.灵活的思考方式，可以为各种不同的业务需求设计出合理的数据模型；<p>7.眼界开阔，良好的创意思维、创新精神和理解能力；<p>8.工作认真、条理清晰、踏实负责，善于沟通，易于合作，保密意识强；<p>9.有零售、餐饮或供应链行业背景者优先。,上海 - 闵行区 - 航华 - 吴中路1686号顶新商务广场B栋11楼,集享联盟,移动互联网，生活服务,不需要融资,50-150人,,https://www.lagou.com/gongsi/105777.html,http://www.maxxipoint.com/,https://www.lagou.com/jobs/4086797.html
大数据挖掘工程师,15k-25k /上海 / 经验3-5年 / 学历不限 / 全职,数据挖掘<p>大数据,五险一金，年终奖金，员工旅游，定期体检,职位描述：<p>一、岗位职责:<p>1.参与构建数据分析和数据挖掘体系，实现对公司运营数据的监控和价值挖掘；<p>2.参与客户画像建模，利用数据挖掘工具进行用户细分、用户偏好、互联网行为等研究，构建完整的客户画像体系；<p>3.参与精准推荐项目算法模型的分析工作；<p>4.参与大数据挖掘系统的设计和实现。 <p>  二、任职要求:<p>1.全日制计算机、数学、统计、金融等相关专业本科以上学历； <p>2.具有良好的统计学、数学和数据挖掘知识基础，1年以上数据挖掘项目经验；<p>3.掌握至少一种统计分析和数据挖掘软件(R/Python)；<p>4.有互联网背景，有网站用户行为研究经验优先；<p>5.能够主动获取新知识，有系统性解决问题能力，有较强的进取精神；<p>6.善于团队间沟通协调。,上海 - 闵行区 - 田林 - 万源路2158号泓毅大厦B座,上海元聚,移动互联网,B轮,150-500人,,https://www.lagou.com/gongsi/232421.html,http://www.zhuishushenqi.com/,https://www.lagou.com/jobs/3745387.html
大数据挖掘工程师,15k-30k /上海 / 经验1-3年 / 本科及以上 / 全职,数据分析<p>数据挖掘<p>大数据,薪资优待 福利完善,职位描述：<p>岗位描述：<p>1. 负责大数据平台和外部数据的整合分析，并分析得出用户画像；<p>2. 从海量数据中提取关键信息，挖掘有效特征；<p>3.负责搭建挖掘模型、机器学习算法的具体实现；能够处理海量数据，快速得出结果及验证。<p>任职要求：<p>1）2年以上在业界的数据分析、数据挖掘及模型开发经验；<p>2)熟悉常用的数据挖掘和机器学习算法（决策树、逻辑回归、SVM、贝叶斯等）；<p>3）熟练掌握至少一门语言（Java、Python、R）进行挖掘和分析；熟练掌握数据分析工具（SAS、SPSS、R、Python），对数据进行快速验证和分析；4）良好的沟通和团队合作精神，较强的分析问题和解决问题能力。,上海 - 浦东新区 - 世纪公园 - 民生路1286号汇商大厦11、14、17楼,方付通,移动互联网，金融,不需要融资,500-2000人,,https://www.lagou.com/gongsi/66311.html,http://www.f-road.com.cn/,https://www.lagou.com/jobs/3905251.html
